"UserID";"CompanyName";"SellerType";"password";"user_type";"Name_Seller"
1;"ABC Inc.";"Retail";"pass123";"Regular";"John Doe"
2;"XYZ Ltd.";"Wholesale";"secret456";"Premium";"Jane Smith"
3;"123 Sales";"Online";"secure789";"Regular";"Bob Johnson"
4;"Best Deals";"Retail";"mypassword";"Regular";"Alice Brown"
5;"Global Suppliers";"Wholesale";"topsecret";"Premium";"Charlie White"
6;"Smart Sellers";"Online";"secretpass";"Regular";"David Black"
7;"Discount Mart";"Retail";"hiddenpass";"Regular";"Emily Gray"
8;"Mega Suppliers";"Wholesale";"confidential";"Premium";"Frank Miller"
9;"E-commerce Express";"Online";"mypass";"Regular";"Grace Turner"
10;"Super Deals";"Retail";"superpass";"Regular";"Henry Davis"
11;"Quick Sales";"Retail";"quickpass";"Regular";"Ivy Johnson"
12;"Best Bargains";"Wholesale";"bargain456";"Premium";"Jack Turner"
13;"Global Sales";"Online";"globalpass";"Regular";"Kelly White"
14;"Smart Deals";"Retail";"smartpass";"Regular";"Leo Brown"
15;"Discount Direct";"Wholesale";"discount123";"Premium";"Mia Smith"
16;"E-commerce Emporium";"Online";"emporiumpass";"Regular";"Noah Gray"
17;"Super Savings";"Retail";"savings456";"Regular";"Olivia Black"
18;"Value Mart";"Wholesale";"valuepass";"Premium";"Peter Davis"
19;"Global Bargains";"Online";"bargainpass";"Regular";"Quinn Green"
20;"Fantastic Deals";"Retail";"fantasticpass";"Regular";"Rachel Miller"
21;"Speedy Sales";"Retail";"speedypass";"Regular";"Samuel White"
22;"Great Deals";"Wholesale";"great456";"Premium";"Tina Turner"
23;"Online Wonders";"Online";"wonderpass";"Regular";"Ulysses Black"
24;"Value Finds";"Retail";"findpass";"Regular";"Victoria Smith"
25;"Mega Mart";"Wholesale";"mega123";"Premium";"William Gray"
26;"Quick Bargains";"Online";"quickbargain";"Regular";"Xavier Johnson"
27;"Super Discounts";"Retail";"discount456";"Regular";"Yara Turner"
28;"Prime Suppliers";"Wholesale";"primepass";"Premium";"Zane Davis"
29;"Online Oasis";"Online";"oasispass";"Regular";"Abigail White"
30;"Value Finds";"Retail";"valuefinds";"Regular";"Bryan Black"
31;"Elite Sales";"Retail";"elitepass";"Regular";"Caleb Smith"
32;"Premium Goods";"Wholesale";"premium456";"Premium";"Daisy Turner"
33;"Web Deals";"Online";"webpass";"Regular";"Elijah Black"
34;"Super Bargains";"Retail";"superbargain";"Regular";"Fiona White"
35;"Best Buys";"Wholesale";"bestbuys123";"Premium";"George Gray"
36;"Quick Mart";"Online";"quickmartpass";"Regular";"Hannah Johnson"
37;"Prime Sales";"Retail";"primepass";"Regular";"Isaac Turner"
38;"Global Goods";"Wholesale";"globalgoods";"Premium";"Jessica Davis"
39;"Online Emporium";"Online";"emporiumpass";"Regular";"Kevin Black"
40;"Fantastic Finds";"Retail";"fantasticfinds";"Regular";"Lily White"
41;"Quick Sales Co.";"Retail";"quickpass123";"Regular";"Michael Turner"
42;"Mega Discounts";"Wholesale";"megadiscount456";"Premium";"Natalie Black"
43;"Web Sellers";"Online";"websellerspass";"Regular";"Oscar Smith"
44;"Value Goods";"Retail";"valuegoods";"Regular";"Penelope White"
45;"SuperMart Suppliers";"Wholesale";"supermart456";"Premium";"Quincy Davis"
46;"Online Treasures";"Online";"onlinetreasures";"Regular";"Rebecca Johnson"
47;"Fantastic Buys";"Retail";"fantasticbuys";"Regular";"Samira Turner"
48;"Prime Discounts";"Wholesale";"primediscountpass";"Premium";"Theo Black"
49;"Online Marvels";"Online";"onlinemarvels";"Regular";"Uma Smith"
50;"Global Treasures";"Retail";"globaltreasures";"Regular";"Vincent White"
